window_number,model_name,trial_number,trial_value,trial_state,optimization_metric
2,random_forest,0,0.27578953977522447,COMPLETE,f1
2,random_forest,1,0.3912863559844049,COMPLETE,f1
2,random_forest,2,0.32265002045257624,COMPLETE,f1
2,random_forest,3,0.3808712818876012,COMPLETE,f1
2,random_forest,4,0.4124506299426307,COMPLETE,f1
2,random_forest,5,0.33184632767919026,COMPLETE,f1
2,random_forest,6,0.3333663891202449,COMPLETE,f1
2,random_forest,7,0.3560463099829423,COMPLETE,f1
2,random_forest,8,0.27578953977522447,COMPLETE,f1
2,random_forest,9,0.3822268001261923,COMPLETE,f1
2,random_forest,10,0.3418212770268417,COMPLETE,f1
2,random_forest,11,0.3512525295329425,COMPLETE,f1
2,random_forest,12,0.4255881667002837,COMPLETE,f1
2,random_forest,13,0.42683807874753016,COMPLETE,f1
2,random_forest,14,0.42710909506695655,COMPLETE,f1
2,random_forest,15,0.4308273652709465,COMPLETE,f1
2,random_forest,16,0.4405173004227489,COMPLETE,f1
2,random_forest,17,0.3648254055744187,COMPLETE,f1
2,random_forest,18,0.433558066446656,COMPLETE,f1
2,random_forest,19,0.44532497482336764,COMPLETE,f1
2,random_forest,20,0.43858392843598454,COMPLETE,f1
2,random_forest,21,0.43880293268825116,COMPLETE,f1
2,random_forest,22,0.4430936669831291,COMPLETE,f1
2,random_forest,23,0.4362244382504539,COMPLETE,f1
2,random_forest,24,0.4314030615329811,COMPLETE,f1
2,extra_trees,0,0.27578953977522447,COMPLETE,f1
2,extra_trees,1,0.3510637118222713,COMPLETE,f1
2,extra_trees,2,0.3113725051406936,COMPLETE,f1
2,extra_trees,3,0.35814490617356265,COMPLETE,f1
2,extra_trees,4,0.38876107285616346,COMPLETE,f1
2,extra_trees,5,0.32993336235496545,COMPLETE,f1
2,extra_trees,6,0.30781621563299905,COMPLETE,f1
2,extra_trees,7,0.32143851071636204,COMPLETE,f1
2,extra_trees,8,0.29579153451439527,COMPLETE,f1
2,extra_trees,9,0.3661740285516006,COMPLETE,f1
2,extra_trees,10,0.29604892585015535,COMPLETE,f1
2,extra_trees,11,0.35640365511210587,COMPLETE,f1
2,extra_trees,12,0.4022418423423537,COMPLETE,f1
2,extra_trees,13,0.39334743727125815,COMPLETE,f1
2,extra_trees,14,0.4088356404980878,COMPLETE,f1
2,extra_trees,15,0.41241902556336835,COMPLETE,f1
2,extra_trees,16,0.4030535309653609,COMPLETE,f1
2,extra_trees,17,0.3275505297278001,COMPLETE,f1
2,extra_trees,18,0.4021252249279363,COMPLETE,f1
2,extra_trees,19,0.4135602681363449,COMPLETE,f1
2,extra_trees,20,0.409490451079473,COMPLETE,f1
2,extra_trees,21,0.40840671626496955,COMPLETE,f1
2,extra_trees,22,0.4129365926580611,COMPLETE,f1
2,extra_trees,23,0.40899369679991215,COMPLETE,f1
2,extra_trees,24,0.41794924206121875,COMPLETE,f1
3,xgboost,0,0.4604654337656194,COMPLETE,f1
3,xgboost,1,0.4984657170534595,COMPLETE,f1
3,xgboost,2,0.47628189457680464,COMPLETE,f1
3,xgboost,3,0.2538842526630029,COMPLETE,f1
3,xgboost,4,0.4447973186277833,COMPLETE,f1
3,xgboost,5,0.45829441179799124,COMPLETE,f1
3,xgboost,6,0.2538842526630029,COMPLETE,f1
3,xgboost,7,0.44534352809584404,COMPLETE,f1
3,xgboost,8,0.4032992521316902,COMPLETE,f1
3,xgboost,9,0.2538842526630029,COMPLETE,f1
3,xgboost,10,0.46636130700733286,COMPLETE,f1
3,xgboost,11,0.4914868469273128,COMPLETE,f1
3,xgboost,12,0.503697034762364,COMPLETE,f1
3,xgboost,13,0.48224358437324105,COMPLETE,f1
3,xgboost,14,0.4928940444838254,COMPLETE,f1
3,xgboost,15,0.38204281340404306,COMPLETE,f1
3,xgboost,16,0.47672428226407676,COMPLETE,f1
3,xgboost,17,0.4641151213740499,COMPLETE,f1
3,xgboost,18,0.4854058292509021,COMPLETE,f1
3,xgboost,19,0.29142997256645614,COMPLETE,f1
3,xgboost,20,0.477021577270809,COMPLETE,f1
3,xgboost,21,0.4899042491222272,COMPLETE,f1
3,xgboost,22,0.471977916856064,COMPLETE,f1
3,lightgbm,0,0.4713320806926707,COMPLETE,f1
3,lightgbm,1,0.2538842526630029,COMPLETE,f1
3,lightgbm,2,0.4293261690042203,COMPLETE,f1
3,lightgbm,3,0.26200676592901545,COMPLETE,f1
3,lightgbm,4,0.46436414734256265,COMPLETE,f1
3,lightgbm,5,0.2538842526630029,COMPLETE,f1
3,lightgbm,6,0.4867251814582951,COMPLETE,f1
3,lightgbm,7,0.2538842526630029,COMPLETE,f1
3,lightgbm,8,0.2538842526630029,COMPLETE,f1
3,lightgbm,9,0.46209037720675755,COMPLETE,f1
3,lightgbm,10,0.44173787140518694,COMPLETE,f1
3,lightgbm,11,0.49326069268581096,COMPLETE,f1
3,lightgbm,12,0.4858961514723976,COMPLETE,f1
3,lightgbm,13,0.47868188896144015,COMPLETE,f1
3,lightgbm,14,0.4903433561819088,COMPLETE,f1
3,lightgbm,15,0.4978766881735069,COMPLETE,f1
3,lightgbm,16,0.5008754297985912,COMPLETE,f1
3,lightgbm,17,0.49381827142731477,COMPLETE,f1
3,lightgbm,18,0.4904607961641006,COMPLETE,f1
3,lightgbm,19,0.496803249029066,COMPLETE,f1
3,lightgbm,20,0.48846792930124555,COMPLETE,f1
3,lightgbm,21,0.492635527029893,COMPLETE,f1
3,lightgbm,22,0.44585681144629596,COMPLETE,f1
3,lightgbm,23,0.48572961584214003,COMPLETE,f1
3,lightgbm,24,0.5000522687632433,COMPLETE,f1
3,random_forest,0,0.2538842526630029,COMPLETE,f1
3,random_forest,1,0.40370449993718555,COMPLETE,f1
3,random_forest,2,0.2956806603805922,COMPLETE,f1
3,random_forest,3,0.37994086904539376,COMPLETE,f1
3,random_forest,4,0.4206840440771918,COMPLETE,f1
3,random_forest,5,0.31566428319598466,COMPLETE,f1
3,random_forest,6,0.3180244457588585,COMPLETE,f1
3,random_forest,7,0.34512144108294757,COMPLETE,f1
3,random_forest,8,0.2538842526630029,COMPLETE,f1
3,random_forest,9,0.3741947431640226,COMPLETE,f1
3,random_forest,10,0.34996467487669464,COMPLETE,f1
3,random_forest,11,0.34073670929067695,COMPLETE,f1
3,random_forest,12,0.43378976069608255,COMPLETE,f1
3,random_forest,13,0.43651663902152177,COMPLETE,f1
3,random_forest,14,0.43230472623263033,COMPLETE,f1
3,random_forest,15,0.43782736975178155,COMPLETE,f1
3,random_forest,16,0.4567563456311743,COMPLETE,f1
3,random_forest,17,0.37190133744864906,COMPLETE,f1
3,random_forest,18,0.45519518766595474,COMPLETE,f1
3,random_forest,19,0.45135069462125593,COMPLETE,f1
3,random_forest,20,0.4435141155929321,COMPLETE,f1
3,random_forest,21,0.4449653886739536,COMPLETE,f1
3,random_forest,22,0.4485972728897522,COMPLETE,f1
